idx,매물ID,상세링크,error
357,41337994,https://fem.encar.com/cars/detail/41337994?advClickPosition=mweb_mhightlight_g107_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
358,41569226,https://fem.encar.com/cars/detail/41569226?advClickPosition=mweb_mhightlight_g108_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
359,41633376,https://fem.encar.com/cars/detail/41633376?advClickPosition=mweb_mhightlight_g109_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
360,41637839,https://fem.encar.com/cars/detail/41637839?advClickPosition=mweb_mhightlight_g110_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
361,41643632,https://fem.encar.com/cars/detail/41643632?advClickPosition=mweb_mhightlight_g111_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
362,41650568,https://fem.encar.com/cars/detail/41650568?advClickPosition=mweb_mhightlight_g112_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
363,41596650,https://fem.encar.com/cars/detail/41596650?advClickPosition=mweb_mhightlight_g113_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
364,41594870,https://fem.encar.com/cars/detail/41594870?advClickPosition=mweb_mhightlight_g114_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
365,41588801,https://fem.encar.com/cars/detail/41588801?advClickPosition=mweb_mhightlight_g115_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
366,41653241,https://fem.encar.com/cars/detail/41653241?advClickPosition=mweb_mhightlight_g116_t49382&listAdvType=mhighlight&type=detail&view_type=normal,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
367,41655850,https://fem.encar.com/cars/detail/41655850?advClickPosition=mweb_mhightlight_g117_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
368,41660995,https://fem.encar.com/cars/detail/41660995?advClickPosition=mweb_mhightlight_g118_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
369,41351215,https://fem.encar.com/cars/detail/41351215?advClickPosition=mweb_mhightlight_g119_t49382&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
370,41033169,https://fem.encar.com/cars/detail/41033169?advClickPosition=mweb_mhightlight_g120_t49382&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
371,41005505,https://fem.encar.com/cars/detail/41005505?advClickPosition=mweb_mhightlight_g121_t49382&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
372,40981552,https://fem.encar.com/cars/detail/40981552?advClickPosition=mweb_mhightlight_g122_t49382&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
373,41021014,https://fem.encar.com/cars/detail/41021014?advClickPosition=mweb_mhightlight_g123_t49382&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
374,41002702,https://fem.encar.com/cars/detail/41002702?advClickPosition=mweb_mhightlight_g124_t49382&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
375,40998708,https://fem.encar.com/cars/detail/40998708?advClickPosition=mweb_mhightlight_g125_t49382&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
376,41079319,https://fem.encar.com/cars/detail/41079319?advClickPosition=mweb_mhightlight_g126_t49382&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
377,41061824,https://fem.encar.com/cars/detail/41061824?advClickPosition=mweb_mhightlight_g127_t49382&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
378,41059918,https://fem.encar.com/cars/detail/41059918?advClickPosition=mweb_mhightlight_g128_t49382&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
379,41060262,https://fem.encar.com/cars/detail/41060262?advClickPosition=mweb_mhightlight_g129_t49382&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
380,40780539,https://fem.encar.com/cars/detail/40780539?advClickPosition=mweb_mhightlight_g130_t49382&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
381,40674131,https://fem.encar.com/cars/detail/40674131?advClickPosition=mweb_mhightlight_g131_t49382&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
382,40648394,https://fem.encar.com/cars/detail/40648394?advClickPosition=mweb_mhightlight_g132_t49382&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
383,41593219,https://fem.encar.com/cars/detail/41593219?advClickPosition=mweb_mhightlight_g133_t49382&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
384,41641168,https://fem.encar.com/cars/detail/41641168?advClickPosition=mweb_mhightlight_g134_t49382&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
385,41380025,https://fem.encar.com/cars/detail/41380025?advClickPosition=mweb_mhightlight_g135_t49382&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
386,41388269,https://fem.encar.com/cars/detail/41388269?advClickPosition=mweb_mhightlight_g136_t49382&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
387,41325749,https://fem.encar.com/cars/detail/41325749?advClickPosition=mweb_mhightlight_g137_t49382&listAdvType=mhighlight&type=detail&view_type=hs_ad,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
